Ticker,Company,Location,Industry,Revenue,10K_Date,10K_Link
PKX,POSCO HOLDINGS INC.,"GANGNAM-GU, SEOUL","Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",73459408000000.0,N/A,
TOYOF,TOYOTA MOTOR CORP/,JAPAN,Motor Vehicles & Passenger Car Bodies,29929992000000.0,N/A,
KT,KT CORP,KOREA M5,Telephone Communications (No Radiotelephone),26146846000000.0,N/A,
SKM,SK TELECOM CO LTD,SEOUL,Radiotelephone Communications,17940609000000.0,N/A,
KB,KB Financial Group Inc.,SEOUL,"Commercial Banks, NEC",16229134000000.0,N/A,
AVAL,Grupo Aval Acciones Y Valores S.A.,Bogota D.C.,"Commercial Banks, NEC",15664744000000.0,N/A,
NPPXF,NIPPON TELEGRAPH & TELEPHONE CORP,TOKYO JAPAN,Telephone Communications (No Radiotelephone),11391016000000.0,N/A,
MBFJF,MITSUBISHI UFJ FINANCIAL GROUP INC,TOKYO,"Commercial Banks, NEC",10836109000000.0,N/A,
HTHIF,HITACHI LTD,TOKYO JAPAN,Heavy Construction Other Than Bldg Const - Contractors,9315807000000.0,N/A,
EC,ECOPETROL S.A.,BOGOTA,Crude Petroleum & Natural Gas,9246560000000.0,N/A,
SNEJF,Sony Group Corp,TOKYO,Household Audio & Video Equipment,8999360000000.0,N/A,
TCMFF,TELECOM ARGENTINA SA,BUENOS AIRES,Telephone Communications (No Radiotelephone),8328814000000.0,N/A,
MZHOF,MIZUHO FINANCIAL GROUP INC,"CHIYODA-KU, TOKYO",National Commercial Banks,8169900000000.0,N/A,
TKPHF,TAKEDA PHARMACEUTICAL CO LTD,TOKYO,Pharmaceutical Preparations,4581551000000.0,N/A,
CAJPY,CANON INC,TOKYO JAPAN,Photographic Equipment & Supplies,4031414000000.0,N/A,
AKO-B,ANDINA BOTTLING CO INC,SANTIAGO CHILE,Bottled & Canned Soft Drinks & Carbonated Waters,3344835851000.0,N/A,
PTCCY,PETROCHINA CO LTD,BEIJING,Crude Petroleum & Natural Gas,3237870000000.0,N/A,
HNDAF,HONDA MOTOR CO LTD,"TOKYO, JAPAN",Motor Vehicles & Passenger Car Bodies,3097246000000.0,N/A,
